departamento,provincia,municipio,cluster,appareil,variante,trajectoire,annee,acces,possession
Pando,Nicolás Suárez,Cobija,C5,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Pando,Nicolás Suárez,Cobija,C5,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Pando,Nicolás Suárez,Cobija,C5,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Pando,Nicolás Suárez,Cobija,C5,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Pando,Nicolás Suárez,Cobija,C5,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Pando,Nicolás Suárez,Cobija,C5,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Pando,Nicolás Suárez,Cobija,C5,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Pando,Nicolás Suárez,Cobija,C5,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Pando,Nicolás Suárez,Cobija,C5,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Pando,Nicolás Suárez,Cobija,C5,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Pando,Nicolás Suárez,Cobija,C5,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Pando,Nicolás Suárez,Cobija,C5,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Pando,Nicolás Suárez,Porvenir,C4,refrigerador,centrale,acces_2035,2024,0.9044843049327356,0.5114244044725328
Pando,Nicolás Suárez,Porvenir,C4,microondas,centrale,acces_2035,2024,0.9044843049327356,0.0661157024793388
Pando,Nicolás Suárez,Porvenir,C4,calefon,centrale,acces_2035,2024,0.9044843049327356,0.0364608653378706
Pando,Nicolás Suárez,Porvenir,C4,aire_acondicionado,centrale,acces_2035,2024,0.9044843049327356,0.0641711229946524
Pando,Nicolás Suárez,Porvenir,C4,lavadora,centrale,acces_2035,2024,0.9044843049327356,0.4239183276616431
Pando,Nicolás Suárez,Porvenir,C4,radio,centrale,acces_2035,2024,0.9044843049327356,0.5822784810126582
Pando,Nicolás Suárez,Porvenir,C4,television,centrale,acces_2035,2024,0.9044843049327356,0.674135411592791
Pando,Nicolás Suárez,Porvenir,C4,telefono,centrale,acces_2035,2024,0.9044843049327356,0.8362573099415205
Pando,Nicolás Suárez,Porvenir,C4,computadora,centrale,acces_2035,2024,0.9044843049327356,0.1972722844617633
Pando,Nicolás Suárez,Porvenir,C4,internet,centrale,acces_2035,2024,0.9044843049327356,0.2664393570384802
Pando,Nicolás Suárez,Porvenir,C4,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Pando,Nicolás Suárez,Porvenir,C4,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Pando,Nicolás Suárez,Porvenir,C4,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Pando,Nicolás Suárez,Porvenir,C4,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Pando,Nicolás Suárez,Porvenir,C4,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Pando,Nicolás Suárez,Porvenir,C4,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Pando,Nicolás Suárez,Porvenir,C4,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Pando,Nicolás Suárez,Porvenir,C4,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
Pando,Nicolás Suárez,Porvenir,C4,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Pando,Nicolás Suárez,Porvenir,C4,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Pando,Nicolás Suárez,Porvenir,C4,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Pando,Nicolás Suárez,Porvenir,C4,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Pando,Nicolás Suárez,Porvenir,C4,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Pando,Nicolás Suárez,Porvenir,C4,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Pando,Nicolás Suárez,Porvenir,C4,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Pando,Nicolás Suárez,Porvenir,C4,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Pando,Nicolás Suárez,Porvenir,C4,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Pando,Nicolás Suárez,Porvenir,C4,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Pando,Nicolás Suárez,Porvenir,C4,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Pando,Nicolás Suárez,Porvenir,C4,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Pando,Nicolás Suárez,Bolpebra,C2,refrigerador,centrale,acces_2035,2024,0.6845386533665836,0.1387434554973822
Pando,Nicolás Suárez,Bolpebra,C2,microondas,centrale,acces_2035,2024,0.6845386533665836,0.0091623036649214
Pando,Nicolás Suárez,Bolpebra,C2,calefon,centrale,acces_2035,2024,0.6845386533665836,0.0431937172774869
Pando,Nicolás Suárez,Bolpebra,C2,aire_acondicionado,centrale,acces_2035,2024,0.6845386533665836,0.0039267015706806
Pando,Nicolás Suárez,Bolpebra,C2,lavadora,centrale,acces_2035,2024,0.6845386533665836,0.0746073298429319
Pando,Nicolás Suárez,Bolpebra,C2,radio,centrale,acces_2035,2024,0.6845386533665836,0.4588235294117647
Pando,Nicolás Suárez,Bolpebra,C2,television,centrale,acces_2035,2024,0.6845386533665836,0.2840314136125654
Pando,Nicolás Suárez,Bolpebra,C2,telefono,centrale,acces_2035,2024,0.6845386533665836,0.8416230366492147
Pando,Nicolás Suárez,Bolpebra,C2,computadora,centrale,acces_2035,2024,0.6845386533665836,0.0667539267015706
Pando,Nicolás Suárez,Bolpebra,C2,internet,centrale,acces_2035,2024,0.6845386533665836,0.0196335078534031
Pando,Nicolás Suárez,Bolpebra,C2,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Pando,Nicolás Suárez,Bolpebra,C2,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Pando,Nicolás Suárez,Bolpebra,C2,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Pando,Nicolás Suárez,Bolpebra,C2,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Pando,Nicolás Suárez,Bolpebra,C2,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
