N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
1154,Provincia,Santa Cruz,Florida,,Urbana,2351.0,418,1933,1229,1122,331,2020,4185.0,1144,3041,1461,2724,1207,2978,53,4132,12,4173,5420.0,1975,3294,151,1694,3577,149,2285,2984,151,97,5171,152,53,5215,152,17.7796682,82.2203318,52.2756274,47.7243726,14.0791153,85.9208847,27.3357228,72.6642772,34.9103943,65.0896057,28.8410992,71.1589008,1.2664277,98.7335723,0.2867384,99.7132616,37.4833934,62.5166066,32.1381142,67.8618858,43.3668628,56.6331372,1.841306,98.158694,1.0060744,98.9939256
1155,Provincia,Santa Cruz,Florida,,Rural,4508.0,319,4189,2096,2412,397,4111,5322.0,1083,4239,1628,3694,1455,3867,139,5183,23,5299,6779.0,2214,4313,252,1814,4713,252,2910,3616,253,99,6427,253,53,6473,253,7.0763088,92.9236912,46.4951198,53.5048802,8.8065661,91.1934339,20.3494927,79.6505073,30.5900038,69.4099962,27.3393461,72.6606539,2.6118001,97.3881999,0.4321684,99.5678316,33.9206374,66.0793626,27.7922476,72.2077524,44.5908673,55.4091327,1.5170089,98.4829911,0.8121361,99.1878639
1156,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Samaipata,2411.0,250,2161,963,1448,160,2251,3099.0,687,2412,895,2204,811,2288,66,3033,8,3091,4052.0,1407,2490,155,1159,2739,154,1696,2200,156,44,3852,156,37,3859,156,10.3691414,89.6308586,39.9419328,60.0580672,6.6362505,93.3637495,22.1684414,77.8315586,28.880284,71.119716,26.1697322,73.8302678,2.1297193,97.8702807,0.2581478,99.7418522,36.1046959,63.8953041,29.7331965,70.2668035,43.5318275,56.4681725,1.1293634,98.8706366,0.949692,99.050308
1157,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Urbana,712.0,139,573,278,434,55,657,1290.0,345,945,413,877,341,949,14,1276,4,1286,1760.0,619,1086,55,540,1166,54,712,993,55,15,1690,55,15,1690,55,19.5224719,80.4775281,39.0449438,60.9550562,7.7247191,92.2752809,26.744186,73.255814,32.0155039,67.9844961,26.4341085,73.5658915,1.0852713,98.9147287,0.3100775,99.6899225,36.3049853,63.6950147,31.6529894,68.3470106,41.7595308,58.2404692,0.8797654,99.1202346,0.8797654,99.1202346
1158,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Rural,1699.0,111,1588,685,1014,105,1594,1809.0,342,1467,482,1327,470,1339,52,1757,4,1805,2292.0,788,1404,100,619,1573,100,984,1207,101,29,2162,101,22,2169,101,6.5332549,93.4667451,40.317834,59.682166,6.1801059,93.8198941,18.9054726,81.0945274,26.644555,73.355445,25.9812051,74.0187949,2.8745163,97.1254837,0.2211166,99.7788834,35.9489051,64.0510949,28.2390511,71.7609489,44.9109995,55.0890005,1.3235965,98.6764035,1.0041077,98.9958923
1159,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Pampagrande,2045.0,169,1876,1070,975,205,1840,2714.0,587,2127,861,1853,658,2056,77,2637,12,2702,3050.0,1020,1933,97,826,2128,96,1173,1780,97,44,2908,98,25,2927,98,8.2640587,91.7359413,52.3227384,47.6772616,10.0244499,89.9755501,21.6285925,78.3714075,31.724392,68.275608,24.2446573,75.7553427,2.8371408,97.1628592,0.4421518,99.5578482,34.5411446,65.4588554,27.9620853,72.0379147,39.7223163,60.2776837,1.4905149,98.5094851,0.8468835,99.1531165
1160,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Urbana,669.0,62,607,337,332,59,610,1002.0,252,750,299,703,235,767,11,991,4,998,1181.0,398,743,40,283,859,39,400,741,40,27,1113,41,12,1128,41,9.2675635,90.7324365,50.3736921,49.6263079,8.819133,91.180867,25.1497006,74.8502994,29.8403194,70.1596806,23.4530938,76.5469062,1.0978044,98.9021956,0.3992016,99.6007984,34.8816827,65.1183173,24.7810858,75.2189142,35.0569676,64.9430324,2.3684211,97.6315789,1.0526316,98.9473684
1161,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Rural,1376.0,107,1269,733,643,146,1230,1712.0,335,1377,562,1150,423,1289,66,1646,8,1704,1869.0,622,1190,57,543,1269,57,773,1039,57,17,1795,57,13,1799,57,7.7761628,92.2238372,53.2703488,46.7296512,10.6104651,89.3895349,19.567757,80.432243,32.8271028,67.1728972,24.7079439,75.2920561,3.8551402,96.1448598,0.4672897,99.5327103,34.3267108,65.6732892,29.9668874,70.0331126,42.6600442,57.3399558,0.9381898,99.0618102,0.7174393,99.2825607
1162,Municipio/TIOC,Santa Cruz,Florida,Mairana,Mairana,1959.0,300,1659,1155,804,349,1610,2964.0,790,2174,1110,1854,1041,1923,45,2919,11,2953,4310.0,1562,2618,130,1320,2860,130,2059,2121,130,96,4084,130,36,4144,130,15.3139357,84.6860643,58.9586524,41.0413476,17.8152118,82.1847882,26.6531714,73.3468286,37.4493927,62.5506073,35.1214575,64.8785425,1.5182186,98.4817814,0.3711201,99.6288799,37.3684211,62.6315789,31.5789474,68.4210526,49.2583732,50.7416268,2.2966507,97.7033493,0.861244,99.138756
1163,Municipio/TIOC,Santa Cruz,Florida,Mairana,Urbana,970.0,217,753,614,356,217,753,1893.0,547,1346,749,1144,631,1262,28,1865,4,1889,2479.0,958,1465,56,871,1552,56,1173,1250,56,55,2368,56,26,2397,56,22.371134,77.628866,63.2989691,36.7010309,22.371134,77.628866,28.8959324,71.1040676,39.5668251,60.4331749,33.3333333,66.6666667,1.4791337,98.5208663,0.2113048,99.7886952,39.5377631,60.4622369,35.9471729,64.0528271,48.4110607,51.5889393,2.2699133,97.7300867,1.0730499,98.9269501
1164,Municipio/TIOC,Santa Cruz,Florida,Mairana,Rural,989.0,83,906,541,448,132,857,1071.0,243,828,361,710,410,661,17,1054,7,1064,1831.0,604,1153,74,449,1308,74,886,871,74,41,1716,74,10,1747,74,8.3923155,91.6076845,54.7017189,45.2982811,13.346815,86.653185,22.6890756,77.3109244,33.7068161,66.2931839,38.2819795,61.7180205,1.5873016,98.4126984,0.6535948,99.3464052,34.3767786,65.6232214,25.5549232,74.4450768,50.426864,49.573136,2.3335231,97.6664769,0.569152,99.430848
1165,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Quirusillas,444.0,18,426,137,307,14,430,730.0,163,567,223,507,152,578,4,726,4,726,787.0,200,566,21,203,563,21,267,499,21,12,754,21,8,758,21,4.0540541,95.9459459,30.8558559,69.1441441,3.1531532,96.8468468,22.3287671,77.6712329,30.5479452,69.4520548,20.8219178,79.1780822,0.5479452,99.4520548,0.5479452,99.4520548,26.1096606,73.8903394,26.5013055,73.4986945,34.8563969,65.1436031,1.5665796,98.4334204,1.0443864,98.9556136
1166,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Rural,444.0,18,426,137,307,14,430,730.0,163,567,223,507,152,578,4,726,4,726,787.0,200,566,21,203,563,21,267,499,21,12,754,21,8,758,21,4.0540541,95.9459459,30.8558559,69.1441441,3.1531532,96.8468468,22.3287671,77.6712329,30.5479452,69.4520548,20.8219178,79.1780822,0.5479452,99.4520548,0.5479452,99.4520548,26.1096606,73.8903394,26.5013055,73.4986945,34.8563969,65.1436031,1.5665796,98.4334204,1.0443864,98.9556136
1168,Provincia,Santa Cruz,Obispo Santisteban,,Obispo Santisteban,27092.0,4155,22937,15019,12073,3238,23854,41546.0,9442,32104,10944,30602,16391,25155,487,41059,220,41326,51149.0,12573,36117,2459,18592,30109,2448,28213,20480,2456,610,48073,2466,713,47972,2464,15.3366307,84.6633693,55.4370294,44.5629706,11.9518677,88.0481323,22.7266163,77.2733837,26.3418861,73.6581139,39.4526549,60.5473451,1.1721947,98.8278053,0.5295335,99.4704665,25.8225508,74.1774492,38.1758075,61.8241925,57.9405664,42.0594336,1.2530041,98.7469959,1.4645168,98.5354832
1169,Provincia,Santa Cruz,Obispo Santisteban,,Urbana,21587.0,3603,17984,11234,10353,2899,18688,34714.0,8346,26368,8817,25897,13453,21261,327,34387,148,34566,45332.0,11502,31666,2164,16567,26611,2154,24571,18600,2161,483,42679,2170,605,42558,2169,16.6906008,83.3093992,52.04058,47.95942,13.4293788,86.5706212,24.0421732,75.9578268,25.3989745,74.6010255,38.7538169,61.2461831,0.9419831,99.0580169,0.426341,99.573659,26.6447368,73.3552632,38.3690768,61.6309232,56.915522,43.084478,1.1190399,98.8809601,1.4016635,98.5983365
1170,Provincia,Santa Cruz,Obispo Santisteban,,Rural,5505.0,552,4953,3785,1720,339,5166,6832.0,1096,5736,2127,4705,2938,3894,160,6672,72,6760,5817.0,1071,4451,295,2025,3498,294,3642,1880,295,127,5394,296,108,5414,295,10.027248,89.972752,68.7556767,31.2443233,6.1580381,93.8419619,16.0421546,83.9578454,31.132904,68.867096,43.0035129,56.9964871,2.3419204,97.6580796,1.0538642,98.9461358,19.3951467,80.6048533,36.6648561,63.3351439,65.9543644,34.0456356,2.3003079,97.6996921,1.9558131,98.0441869
1171,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Montero,16216.0,2802,13414,7335,8881,2147,14069,26343.0,6674,19669,6093,20250,9069,17274,240,26103,93,26250,33384.0,9101,22699,1584,11806,20000,1578,16816,14989,1579,342,31455,1587,400,31398,1586,17.2792304,82.7207696,45.2331031,54.7668969,13.2400099,86.7599901,25.3350036,74.6649964,23.1294841,76.8705159,34.4266029,65.5733971,0.911058,99.088942,0.353035,99.646965,28.6194969,71.3805031,37.1187826,62.8812174,52.8721899,47.1278101,1.0755732,98.9244268,1.2579408,98.7420592
1172,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Urbana,15775.0,2769,13006,7161,8614,2122,13653,25783.0,6578,19205,5993,19790,8928,16855,224,25559,91,25692,33175.0,9063,22541,1571,11749,19861,1565,16704,14905,1566,336,31265,1574,395,31207,1573,17.5530903,82.4469097,45.3946117,54.6053883,13.451664,86.548336,25.5129349,74.4870651,23.243998,76.756002,34.6274677,65.3725323,0.8687895,99.1312105,0.3529457,99.6470543,28.6767498,71.3232502,37.1686175,62.8313825,52.8457085,47.1542915,1.0632575,98.9367425,1.2499209,98.7500791
1173,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Rural,441.0,33,408,174,267,25,416,560.0,96,464,100,460,141,419,16,544,2,558,209.0,38,158,13,57,139,13,112,84,13,6,190,13,5,191,13,7.4829932,92.5170068,39.4557823,60.5442177,5.6689342,94.3310658,17.1428571,82.8571429,17.8571429,82.1428571,25.1785714,74.8214286,2.8571429,97.1428571,0.3571429,99.6428571,19.3877551,80.6122449,29.0816327,70.9183673,57.1428571,42.8571429,3.0612245,96.9387755,2.5510204,97.4489796
1174,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,General Saavedra,2747.0,293,2454,1901,846,144,2603,3236.0,581,2655,1094,2142,1181,2055,41,3195,10,3226,4358.0,749,3354,255,1582,2522,254,2433,1669,256,77,4025,256,48,4054,256,10.6661813,89.3338187,69.2027667,30.7972333,5.2420823,94.7579177,17.9542645,82.0457355,33.8071693,66.1928307,36.4956737,63.5043263,1.2669963,98.7330037,0.3090235,99.6909765,18.2549354,81.7450646,38.5477583,61.4522417,59.3125305,40.6874695,1.8771331,98.1228669,1.1701609,98.8298391
1175,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Urbana,692.0,90,602,500,192,59,633,1177.0,220,957,453,724,396,781,8,1169,3,1174,1986.0,315,1584,87,812,1087,87,1103,795,88,23,1875,88,23,1875,88,13.0057803,86.9942197,72.2543353,27.7456647,8.5260116,91.4739884,18.6915888,81.3084112,38.4876805,61.5123195,33.6448598,66.3551402,0.6796941,99.3203059,0.2548853,99.7451147,16.5876777,83.4123223,42.759347,57.240653,58.113804,41.886196,1.2118019,98.7881981,1.2118019,98.7881981
1176,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Rural,2055.0,203,1852,1401,654,85,1970,2059.0,361,1698,641,1418,785,1274,33,2026,7,2052,2372.0,434,1770,168,770,1435,167,1330,874,168,54,2150,168,25,2179,168,9.8783455,90.1216545,68.1751825,31.8248175,4.136253,95.863747,17.5327829,82.4672171,31.1316173,68.8683827,38.1253035,61.8746965,1.6027198,98.3972802,0.3399709,99.6600291,19.6914701,80.3085299,34.9206349,65.0793651,60.3448276,39.6551724,2.4500907,97.5499093,1.1343013,98.8656987
1177,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Mineros,3492.0,464,3028,2130,1362,526,2966,5327.0,915,4412,1308,4019,2644,2683,74,5253,20,5307,6194.0,1102,4790,302,2205,3690,299,4066,1827,301,92,5798,304,88,5803,303,13.2875143,86.7124857,60.9965636,39.0034364,15.0630011,84.9369989,17.1766473,82.8233527,24.5541581,75.4458419,49.6339403,50.3660597,1.3891496,98.6108504,0.3754458,99.6245542,18.7033265,81.2966735,37.4045802,62.5954198,68.9971152,31.0028848,1.5619694,98.4380306,1.4938041,98.5061959
1178,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Urbana,2661.0,402,2259,1564,1097,472,2189,4211.0,802,3409,972,3239,2163,2048,40,4171,19,4192,4954.0,969,3739,246,1830,2881,243,3260,1449,245,57,4650,247,74,4633,247,15.1071026,84.8928974,58.7748967,41.2251033,17.7376926,82.2623074,19.0453574,80.9546426,23.0824032,76.9175968,51.3654714,48.6345286,0.9498931,99.0501069,0.4511992,99.5488008,20.5819881,79.4180119,38.8452558,61.1547442,69.2291357,30.7708643,1.2109624,98.7890376,1.5721266,98.4278734
1179,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Rural,831.0,62,769,566,265,54,777,1116.0,113,1003,336,780,481,635,34,1082,1,1115,1240.0,133,1051,56,375,809,56,806,378,56,35,1148,57,14,1170,56,7.4608905,92.5391095,68.11071,31.88929,6.4981949,93.5018051,10.125448,89.874552,30.1075269,69.8924731,43.1003584,56.8996416,3.046595,96.953405,0.0896057,99.9103943,11.2331081,88.7668919,31.6722973,68.3277027,68.0743243,31.9256757,2.9585799,97.0414201,1.1824324,98.8175676
1180,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Fernández Alonso,2032.0,312,1720,1648,384,220,1812,3163.0,664,2499,1078,2085,1676,1487,62,3101,28,3135,3438.0,798,2511,129,1430,1880,128,2416,892,130,44,3265,129,60,3249,129,15.3543307,84.6456693,81.1023622,18.8976378,10.8267717,89.1732283,20.9927284,79.0072716,34.0815681,65.9184319,52.9876699,47.0123301,1.9601644,98.0398356,0.8852355,99.1147645,24.1160471,75.8839529,43.2024169,56.7975831,73.0350665,26.9649335,1.3297069,98.6702931,1.8132366,98.1867634
1181,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Urbana,1434.0,247,1187,1202,232,180,1254,2113.0,497,1616,802,1311,1275,838,33,2080,11,2102,2870.0,696,2058,116,1215,1540,115,2028,725,117,35,2719,116,50,2704,116,17.2245467,82.7754533,83.8214784,16.1785216,12.5523013,87.4476987,23.5210601,76.4789399,37.9555135,62.0444865,60.3407478,39.6592522,1.5617605,98.4382395,0.5205868,99.4794132,25.2723312,74.7276688,44.1016334,55.8983666,73.6650926,26.3349074,1.2708787,98.7291213,1.815541,98.184459
1182,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Rural,598.0,65,533,446,152,40,558,1050.0,167,883,276,774,401,649,29,1021,17,1033,568.0,102,453,13,215,340,13,388,167,13,9,546,13,10,545,13,10.8695652,89.1304348,74.5819398,25.4180602,6.6889632,93.3110368,15.9047619,84.0952381,26.2857143,73.7142857,38.1904762,61.8095238,2.7619048,97.2380952,1.6190476,98.3809524,18.3783784,81.6216216,38.7387387,61.2612613,69.9099099,30.0900901,1.6216216,98.3783784,1.8018018,98.1981982
1183,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro,2605.0,284,2321,2005,600,201,2404,3477.0,608,2869,1371,2106,1821,1656,70,3407,69,3408,3775.0,823,2763,189,1569,2017,189,2482,1103,190,55,3530,190,117,3468,190,10.9021113,89.0978887,76.9673704,23.0326296,7.7159309,92.2840691,17.4863388,82.5136612,39.4305436,60.5694564,52.3727351,47.6272649,2.0132298,97.9867702,1.9844694,98.0155306,22.9503625,77.0496375,43.7534858,56.2465142,69.2329149,30.7670851,1.5341702,98.4658298,3.2635983,96.7364017
1184,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Urbana,1025.0,95,930,807,218,66,959,1430.0,249,1181,597,833,691,739,22,1408,24,1406,2347.0,459,1744,144,961,1242,144,1476,726,145,32,2170,145,63,2139,145,9.2682927,90.7317073,78.7317073,21.2682927,6.4390244,93.5609756,17.4125874,82.5874126,41.7482517,58.2517483,48.3216783,51.6783217,1.5384615,98.4615385,1.6783217,98.3216783,20.8352247,79.1647753,43.6223332,56.3776668,67.0299728,32.9700272,1.4532243,98.5467757,2.8610354,97.1389646
1185,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Rural,1580.0,189,1391,1198,382,135,1445,2047.0,359,1688,774,1273,1130,917,48,1999,45,2002,1428.0,364,1019,45,608,775,45,1006,377,45,23,1360,45,54,1329,45,11.9620253,88.0379747,75.8227848,24.1772152,8.5443038,91.4556962,17.5378603,82.4621397,37.8114314,62.1885686,55.2027357,44.7972643,2.344895,97.655105,2.198339,97.801661,26.3195951,73.6804049,43.9624006,56.0375994,72.7404194,27.2595806,1.6630513,98.3369487,3.9045553,96.0954447
1186,Provincia,Santa Cruz,Ñuflo de Chávez,,Ñuflo de Chávez,17360.0,1763,15597,9963,7397,1065,16295,28102.0,5176,22926,6841,21261,11762,16340,1363,26739,170,27932,38255.0,8459,27843,1953,8432,27890,1933,21982,14330,1943,1415,34885,1955,418,35882,1955,10.15553,89.84447,57.390553,42.609447,6.1347926,93.8652074,18.4186179,81.5813821,24.3434631,75.6565369,41.8546723,58.1453277,4.8501886,95.1498114,0.6049392,99.3950608,23.3017465,76.6982535,23.2145807,76.7854193,60.5364618,39.4635382,3.8980716,96.1019284,1.1515152,98.8484848
1187,Provincia,Santa Cruz,Ñuflo de Chávez,,Urbana,5282.0,645,4637,2792,2490,576,4706,12417.0,2353,10064,2785,9632,5646,6771,117,12300,31,12386,18864.0,4328,13681,855,4668,13346,850,11627,6383,854,215,17791,858,177,17829,858,12.2112836,87.7887164,52.8587656,47.1412344,10.9049602,89.0950398,18.9498269,81.0501731,22.4289281,77.5710719,45.4699203,54.5300797,0.9422566,99.0577434,0.2496577,99.7503423,24.0324282,75.9675718,25.9131786,74.0868214,64.5585786,35.4414214,1.1940464,98.8059536,0.9830057,99.0169943
1188,Provincia,Santa Cruz,Ñuflo de Chávez,,Rural,12078.0,1118,10960,7171,4907,489,11589,15685.0,2823,12862,4056,11629,6116,9569,1246,14439,139,15546,19391.0,4131,14162,1098,3764,14544,1083,10355,7947,1089,1200,17094,1097,241,18053,1097,9.2564994,90.7435006,59.3724127,40.6275873,4.0486836,95.9513164,17.9980873,82.0019127,25.8591011,74.1408989,38.9926682,61.0073318,7.9438954,92.0561046,0.886197,99.113803,22.5824086,77.4175914,20.5593183,79.4406817,56.578516,43.421484,6.5595277,93.4404723,1.3173718,98.6826282
1189,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Concepción,2485.0,196,2289,1434,1051,234,2251,4261.0,451,3810,998,3263,1726,2535,55,4206,18,4243,9407.0,1486,7449,472,1718,7220,469,5651,3288,468,191,8744,472,87,8848,472,7.8873239,92.1126761,57.7062374,42.2937626,9.416499,90.583501,10.5843699,89.4156301,23.421732,76.578268,40.5069233,59.4930767,1.2907768,98.7092232,0.422436,99.577564,16.6312255,83.3687745,19.2213023,80.7786977,63.2173621,36.7826379,2.1376609,97.8623391,0.9736989,99.0263011
1190,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Urbana,983.0,135,848,675,308,166,817,2292.0,342,1950,585,1707,1054,1238,9,2283,10,2282,4163.0,695,3256,212,1002,2949,212,2672,1279,212,61,3890,212,40,3910,213,13.733469,86.266531,68.6673449,31.3326551,16.8870804,83.1129196,14.921466,85.078534,25.5235602,74.4764398,45.9860384,54.0139616,0.3926702,99.6073298,0.4363002,99.5636998,17.5904834,82.4095166,25.3606682,74.6393318,67.6284485,32.3715515,1.5439129,98.4560871,1.0126582,98.9873418
1191,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Rural,1502.0,61,1441,759,743,68,1434,1969.0,109,1860,413,1556,672,1297,46,1923,8,1961,5244.0,791,4193,260,716,4271,257,2979,2009,256,130,4854,260,47,4938,259,4.0612517,95.9387483,50.5326232,49.4673768,4.5272969,95.4727031,5.535805,94.464195,20.9751143,79.0248857,34.1289995,65.8710005,2.3362113,97.6637887,0.4062976,99.5937024,15.8707865,84.1292135,14.3573291,85.6426709,59.723336,40.276664,2.6083467,97.3916533,0.9428285,99.0571715
1192,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,San Javier,1978.0,172,1806,501,1477,208,1770,3185.0,444,2741,303,2882,1503,1682,19,3166,25,3160,3941.0,489,3206,246,563,3138,240,2259,1436,246,28,3666,247,35,3660,246,8.6956522,91.3043478,25.3286148,74.6713852,10.5156724,89.4843276,13.9403454,86.0596546,9.5133438,90.4866562,47.1899529,52.8100471,0.5965463,99.4034537,0.7849294,99.2150706,13.2341001,86.7658999,15.2121048,84.7878952,61.1366712,38.8633288,0.7579859,99.2420141,0.947226,99.052774
1193,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,Urbana,1006.0,125,881,285,721,147,859,1677.0,259,1418,197,1480,819,858,6,1671,4,1673,2107.0,307,1692,108,383,1617,107,1224,775,108,5,1993,109,17,1982,108,12.4254473,87.5745527,28.3300199,71.6699801,14.612326,85.387674,15.4442457,84.5557543,11.7471676,88.2528324,48.8372093,51.1627907,0.3577818,99.6422182,0.2385212,99.7614788,15.3576788,84.6423212,19.15,80.85,61.2306153,38.7693847,0.2502503,99.7497497,0.8504252,99.1495748
1194,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,Rural,972.0,47,925,216,756,61,911,1508.0,185,1323,106,1402,684,824,13,1495,21,1487,1834.0,182,1514,138,180,1521,133,1035,661,138,23,1673,138,18,1678,138,4.8353909,95.1646091,22.2222222,77.7777778,6.2757202,93.7242798,12.2679045,87.7320955,7.0291777,92.9708223,45.3580902,54.6419098,0.862069,99.137931,1.3925729,98.6074271,10.7311321,89.2688679,10.5820106,89.4179894,61.0259434,38.9740566,1.3561321,98.6438679,1.0613208,98.9386792
