N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1115,Municipio/TIOC,Santa Cruz,Cordillera,Lagunillas,Urbana,,,,,,,,,,,,,,,,,
1116,Municipio/TIOC,Santa Cruz,Cordillera,Lagunillas,Rural,16,10,1,0,0,0,0,3,2,62.5,6.25,0,0,0,0,18.75,12.5
1117,Municipio/TIOC,Santa Cruz,Cordillera,Charagua (Autonomía Guaraní Charagua Iyambae),Charagua (Autonomía Guaraní Charagua Iyambae),31,3,3,7,0,1,0,16,1,9.6774194,9.6774194,22.5806452,0,3.2258065,0,51.6129032,3.2258065
1118,Municipio/TIOC,Santa Cruz,Cordillera,Charagua (Autonomía Guaraní Charagua Iyambae),Urbana,6,2,1,2,0,0,0,1,0,33.3333333,16.6666667,33.3333333,0,0,0,16.6666667,0
1119,Municipio/TIOC,Santa Cruz,Cordillera,Charagua (Autonomía Guaraní Charagua Iyambae),Rural,25,1,2,5,0,1,0,15,1,4,8,20,0,4,0,60,4
1120,Municipio/TIOC,Santa Cruz,Cordillera,Cabezas,Cabezas,161,12,9,4,1,4,0,114,17,7.4534161,5.5900621,2.484472,0.621118,2.484472,0,70.8074534,10.5590062
1121,Municipio/TIOC,Santa Cruz,Cordillera,Cabezas,Urbana,29,9,2,1,1,1,0,14,1,31.0344828,6.8965517,3.4482759,3.4482759,3.4482759,0,48.2758621,3.4482759
1122,Municipio/TIOC,Santa Cruz,Cordillera,Cabezas,Rural,132,3,7,3,0,3,0,100,16,2.2727273,5.3030303,2.2727273,0,2.2727273,0,75.7575758,12.1212121
1123,Municipio/TIOC,Santa Cruz,Cordillera,Cuevo,Cuevo,15,2,1,8,0,1,0,1,2,13.3333333,6.6666667,53.3333333,0,6.6666667,0,6.6666667,13.3333333
1124,Municipio/TIOC,Santa Cruz,Cordillera,Cuevo,Urbana,12,2,1,7,0,1,0,0,1,16.6666667,8.3333333,58.3333333,0,8.3333333,0,0,8.3333333
