N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
80,Provincia,Chuquisaca,Nor Cinti,,Urbana,4341,3998,343,7391,6916,475,13419,13120,299,92.0985948,7.9014052,93.5732648,6.4267352,97.7718161,2.2281839
81,Provincia,Chuquisaca,Nor Cinti,,Rural,64285,8223,56062,68374,27891,40483,57795,41148,16647,12.7914755,87.2085245,40.7918215,59.2081785,71.1964703,28.8035297
82,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Camargo,14167,5913,8254,15012,10784,4228,14306,12675,1631,41.7378415,58.2621585,71.8358646,28.1641354,88.5991892,11.4008108
83,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Urbana,4341,3998,343,4952,4887,65,5173,5144,29,92.0985948,7.9014052,98.687399,1.312601,99.4393969,0.5606031
84,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Rural,9826,1915,7911,10060,5897,4163,9133,7531,1602,19.4891105,80.5108895,58.6182903,41.3817097,82.4592138,17.5407862
85,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,San Lucas,31592,3597,27995,32213,13783,18430,26602,20761,5841,11.3857939,88.6142061,42.7870735,57.2129265,78.0430043,21.9569957
86,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,Urbana,,,,,,,2817,2771,46,,,,,98.3670572,1.6329428
87,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,Rural,31592,3597,27995,32213,13783,18430,23785,17990,5795,11.3857939,88.6142061,42.7870735,57.2129265,75.635905,24.364095
88,Municipio/TIOC,Chuquisaca,Nor Cinti,Incahuasi,Incahuasi,10612,1184,9428,12855,4057,8798,16095,10197,5898,11.1571806,88.8428194,31.5597044,68.4402956,63.3550792,36.6449208
89,Municipio/TIOC,Chuquisaca,Nor Cinti,Incahuasi,Urbana,,,,,,,2815,2619,196,,,,,93.0373002,6.9626998
