c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
60302,4110,0.792,0.657,0.531,0.24,2.508,0.240,0.269,0.323,0.393,0.523,0.657,0.807,0.987,1.094,1.226,1.589,0.771,Carapari,Gran Chaco,Tarija,6,3126,15650,5.01
60601,5306,0.572,0.426,0.387,0.24,1.8,0.240,0.240,0.245,0.261,0.325,0.426,0.540,0.680,0.775,0.883,1.191,0.530,Entre Rios,O'Connor,Tarija,6,5033,20846,4.14
80101,55804,1.514,1.176,1.232,0.24,5.465,0.240,0.388,0.514,0.642,0.900,1.176,1.494,1.890,2.148,2.465,3.384,1.634,Trinidad,Cercado,Beni,8,2539,124357,48.98
80102,255,0.917,0.759,0.663,0.152,2.992,0.240,0.251,0.282,0.361,0.583,0.759,0.982,1.159,1.306,1.510,1.960,1.024,San Javier,Cercado,Beni,8,8173,7654,0.94
80301,4904,1.125,0.888,0.891,0.028,3.96,0.240,0.279,0.348,0.449,0.669,0.888,1.140,1.428,1.584,1.800,2.483,1.236,Reyes,General Jose Ballivian,Beni,8,12642,11274,0.89
80302,18771,0.805,0.610,0.618,0.24,2.848,0.240,0.240,0.257,0.300,0.444,0.610,0.799,1.008,1.140,1.296,1.739,0.883,San Borja,General Jose Ballivian,Beni,8,13489,45562,3.38
80303,3254,0.904,0.727,0.671,0.24,3.092,0.240,0.250,0.300,0.360,0.543,0.727,0.928,1.176,1.306,1.440,1.880,1.006,Santa Rosa,General Jose Ballivian,Beni,8,12106,10910,0.9
80304,9914,1.093,0.824,0.889,0.24,3.972,0.240,0.275,0.345,0.428,0.614,0.824,1.071,1.355,1.538,1.771,2.477,1.193,Rurrenabaque,General Jose Ballivian,Beni,8,2529,21018,8.31
80401,7397,1.012,0.776,0.813,0.24,3.653,0.240,0.252,0.302,0.372,0.552,0.776,1.021,1.287,1.452,1.650,2.226,1.150,Santa Ana del Yacuma,Yacuma,Beni,8,20093,18102,0.9
80501,7045,0.778,0.576,0.595,0.24,2.748,0.240,0.241,0.263,0.304,0.420,0.576,0.764,0.978,1.104,1.255,1.690,0.841,San Ignacio de Moxos,Moxos,Beni,8,20011,21578,1.08
80601,303,0.997,0.763,0.816,0.048,3.511,0.240,0.240,0.272,0.337,0.601,0.763,0.998,1.273,1.426,1.551,2.170,1.154,Loreto,Marban,Beni,8,5364,4263,0.79
80602,2785,0.809,0.634,0.594,0.24,2.674,0.240,0.243,0.278,0.327,0.466,0.634,0.816,1.036,1.159,1.296,1.733,0.881,San Andres,Marban,Beni,8,9355,15635,1.67
80701,2499,1.286,1.044,0.987,0.113,4.428,0.240,0.363,0.469,0.588,0.816,1.044,1.308,1.596,1.813,2.027,2.802,1.344,San Joaquin,Mamore,Beni,8,8692,6851,0.79
80702,1984,1.459,1.212,1.112,0.24,5.112,0.240,0.397,0.528,0.680,0.978,1.212,1.498,1.832,2.048,2.287,3.058,1.520,San Ramon,Mamore,Beni,8,10079,5441,0.54
80801,4324,0.962,0.743,0.760,0.24,3.425,0.240,0.252,0.296,0.365,0.540,0.743,0.964,1.221,1.375,1.572,2.059,1.079,Magdalena,Itenez,Beni,8,13634,12769,0.94
80802,519,0.669,0.600,0.440,0.24,2.118,0.240,0.242,0.252,0.280,0.384,0.600,0.739,0.840,0.925,1.020,1.340,0.673,Baures,Itenez,Beni,8,17616,6564,0.37
80803,398,0.659,0.428,0.475,0.24,2.17,0.240,0.259,0.291,0.319,0.353,0.428,0.586,0.816,0.985,1.076,1.426,0.693,Huacaraje,Itenez,Beni,8,4464,4628,1.04
90302,174,0.930,0.774,0.674,0.041,2.966,0.240,0.395,0.469,0.509,0.652,0.774,0.918,1.105,1.168,1.314,1.920,0.699,San Lorenzo,Madre de Dios,Pando,9,3171,9203,2.9
70104,23383,1.372,1.238,0.916,0,4.112,0.227,0.582,0.719,0.829,1.034,1.238,1.456,1.722,1.893,2.088,2.682,1.174,La Guardia,Andres Ibanez,Santa Cruz,7,953.2,147622,154.87
50801,12069,0.596,0.478,0.421,0,1.888,0.220,0.240,0.247,0.276,0.365,0.478,0.611,0.760,0.845,0.939,1.227,0.598,Tupiza,Sud Chichas,Potosi,5,6204,45531,7.34
71103,1132,1.283,1.108,0.957,0,4.273,0.214,0.435,0.530,0.642,0.893,1.108,1.317,1.599,1.809,2.017,2.720,1.279,San Julian,Nuflo de Chaves,Santa Cruz,7,5726,44635,7.8
71102,1411,1.242,1.095,0.878,0,3.906,0.199,0.462,0.580,0.671,0.896,1.095,1.328,1.590,1.755,1.928,2.433,1.176,San Javier,Nuflo de Chaves,Santa Cruz,7,3381,14897,4.41
20101,241878,1.469,1.251,1.092,0,4.8,0.197,0.498,0.627,0.745,0.991,1.251,1.546,1.902,2.111,2.356,3.065,1.484,La Paz,Murillo,La Paz,2,2001,755732,377.68
90203,388,1.059,0.978,0.678,0,3.21,0.196,0.472,0.602,0.693,0.815,0.978,1.151,1.307,1.416,1.591,2.011,0.814,Filadelfia,Manuripi,Pando,9,11886,7941,0.67
70502,3879,1.512,1.220,1.208,0,5.295,0.193,0.487,0.620,0.733,0.970,1.220,1.501,1.874,2.107,2.420,3.311,1.487,Pailon,Chiquitos,Santa Cruz,7,13726,54357,3.96
71502,849,0.792,0.683,0.534,0,2.46,0.183,0.324,0.374,0.429,0.532,0.683,0.833,1.037,1.129,1.248,1.540,0.755,Urubicha,Guarayos,Santa Cruz,7,10470,6528,0.62
71503,795,1.115,0.944,0.818,0,3.55,0.179,0.378,0.482,0.565,0.753,0.944,1.197,1.444,1.607,1.771,2.249,1.125,El Puente,Guarayos,Santa Cruz,7,6745,17214,2.55
70501,3005,1.138,1.009,0.807,0,3.549,0.175,0.401,0.516,0.616,0.815,1.009,1.227,1.463,1.604,1.768,2.297,1.088,San Jose de Chiquitos,Chiquitos,Santa Cruz,7,19121,40961,2.14
30901,37376,1.112,0.983,0.773,0,3.411,0.172,0.420,0.528,0.624,0.802,0.983,1.189,1.432,1.577,1.754,2.235,1.049,Quillacollo,Quillacollo,Cochabamba,3,565.3,165830,293.35
