N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,�REA, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034
395,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro,16279,15948,15661,15396,15167,14958,14776,14612,14474,14345,14242
396,Provincia,Santa Cruz,Ñuflo de Chávez,,Ñuflo de Chávez,137962,138403,139026,139659,140242,140846,141447,142038,142659,143274,143894
397,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Concepción,31734,32437,33109,33713,34242,34716,35143,35509,35852,36166,36453
398,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,San Javier,15803,15852,15932,16017,16113,16232,16347,16480,16605,16755,16896
399,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Julián,San Julián,47793,47431,47193,47003,46852,46735,46661,46618,46624,46656,46709
400,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Antonio de Lomerio,San Antonio de Lomerio,6774,6729,6707,6693,6678,6674,6676,6682,6697,6711,6723
401,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,San Ramón,9061,9096,9148,9206,9257,9313,9368,9421,9473,9518,9574
402,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Cuatro Cañadas,26797,26858,26937,27027,27100,27176,27252,27328,27408,27468,27539
403,Provincia,Santa Cruz,Ángel Sandoval,,Ángel Sandoval,16328,16339,16381,16451,16515,16606,16697,16804,16926,17045,17177
404,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,San Matías,16328,16339,16381,16451,16515,16606,16697,16804,16926,17045,17177
405,Provincia,Santa Cruz,Manuel María Caballero,,Manuel María Caballero,24705,24615,24587,24581,24597,24623,24671,24760,24848,24956,25073
406,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Comarapa,18248,18275,18347,18433,18533,18637,18754,18891,19036,19191,19346
407,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Saipina,6457,6340,6240,6148,6064,5986,5917,5869,5812,5765,5727
408,Provincia,Santa Cruz,Germán Busch,,Germán Busch,46931,46885,46951,47000,47120,47220,47361,47525,47697,47864,48072
409,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Puerto Suárez,18556,18304,18113,17926,17778,17633,17504,17397,17307,17224,17155
410,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,19066,19116,19216,19306,19435,19551,19698,19857,20017,20177,20352
411,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,El Carmen Rivero Tórrez,9309,9465,9622,9768,9907,10036,10159,10271,10373,10463,10565
412,Provincia,Santa Cruz,Guarayos,,Guarayos,61349,61941,62617,63269,63931,64558,65179,65794,66401,66976,67540
413,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Ascención de Guarayos,36060,36514,37011,37487,37958,38400,38828,39252,39660,40049,40427
414,Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Urubichá,6982,6911,6869,6825,6799,6763,6744,6735,6727,6717,6709
415,Municipio/TIOC,Santa Cruz,Guarayos,El Puente,El Puente,18307,18516,18737,18957,19174,19395,19607,19807,20014,20210,20404
416,Departamento,Beni,,,Beni,536703,540170,544145,548103,552019,556011,560186,564601,569039,573528,578136
417,Provincia,Beni,Cercado,,Cercado,149867,151392,153000,154520,155956,157414,158924,160383,161909,163407,164861
418,Municipio/TIOC,Beni,Cercado,Trinidad,Trinidad,141213,142588,144063,145475,146816,148180,149614,151003,152454,153873,155248
419,Municipio/TIOC,Beni,Cercado,San Javier,San Javier,8654,8804,8937,9045,9140,9234,9310,9380,9455,9534,9613
420,Provincia,Beni,Vaca Diez,,Vaca Diez,167411,168568,169929,171271,172578,173945,175375,176922,178431,180003,181598
421,Municipio/TIOC,Beni,Vaca Diez,Riberalta,Riberalta,121074,122321,123652,124905,126080,127268,128461,129694,130875,132080,133278
422,Municipio/TIOC,Beni,Vaca Diez,Guayaramerín,Guayaramerín,46337,46247,46277,46366,46498,46677,46914,47228,47556,47923,48320
423,Provincia,Beni,General José Ballivián,,General José Ballivián,98671,98900,99234,99620,100035,100463,100911,101455,101989,102526,103140
424,Municipio/TIOC,Beni,General José Ballivián,Reyes,Reyes,12695,12539,12415,12312,12238,12176,12124,12113,12102,12100,12115
425,Municipio/TIOC,Beni,General José Ballivián,San Borja,San Borja,50384,50589,50837,51096,51353,51623,51893,52186,52482,52778,53107
426,Municipio/TIOC,Beni,General José Ballivián,Santa Rosa,Santa Rosa,12221,12308,12407,12510,12614,12709,12819,12933,13041,13144,13270
427,Municipio/TIOC,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Puerto Menor de Rurrenabaque,23371,23464,23575,23702,23830,23955,24075,24223,24364,24504,24648
428,Provincia,Beni,Yacuma,,Yacuma,28713,28817,28948,29124,29316,29512,29736,29987,30242,30525,30804
429,Municipio/TIOC,Beni,Yacuma,Santa Ana,Santa Ana,19914,19923,19974,20057,20158,20269,20403,20573,20745,20934,21128
430,Municipio/TIOC,Beni,Yacuma,Exaltación,Exaltación,8799,8894,8974,9067,9158,9243,9333,9414,9497,9591,9676
431,Provincia,Beni,Moxos,,Moxos,23757,23814,23902,23998,24100,24191,24285,24400,24518,24627,24744
432,Municipio/TIOC,Beni,Moxos,San Ignacio,San Ignacio,23757,23814,23902,23998,24100,24191,24285,24400,24518,24627,24744
433,Provincia,Beni,Marbán,,Marbán,21793,21976,22182,22362,22563,22748,22934,23122,23305,23489,23688
434,Municipio/TIOC,Beni,Marbán,Loreto,Loreto,4701,4708,4723,4737,4762,4775,4787,4813,4828,4851,4871
435,Municipio/TIOC,Beni,Marbán,San Andrés,San Andrés,17092,17268,17459,17625,17801,17973,18147,18309,18477,18638,18817
436,Provincia,Beni,Mamoré,,Mamoré,14741,14755,14771,14788,14824,14869,14929,15000,15072,15153,15259
437,Municipio/TIOC,Beni,Mamoré,San Joaquín,San Joaquín,7516,7499,7494,7505,7520,7547,7589,7627,7687,7741,7809
438,Municipio/TIOC,Beni,Mamoré,San Ramón,San Ramón,6029,6051,6058,6065,6077,6088,6101,6123,6131,6151,6174
439,Municipio/TIOC,Beni,Mamoré,Puerto Siles,Puerto Siles,1196,1205,1219,1218,1227,1234,1239,1250,1254,1261,1276
440,Provincia,Beni,Iténez,,Iténez,27376,27537,27726,27911,28093,28273,28456,28653,28846,29033,29240
441,Municipio/TIOC,Beni,Iténez,Magdalena,Magdalena,14064,14116,14190,14267,14343,14410,14485,14570,14656,14730,14816
442,Municipio/TIOC,Beni,Iténez,Baures,Baures,8219,8309,8393,8481,8565,8650,8731,8812,8888,8970,9057
443,Municipio/TIOC,Beni,Iténez,Huacaraje,Huacaraje,5093,5112,5143,5163,5185,5213,5240,5271,5302,5333,5367
444,Municipio/TIOC,Beni,Iténez,Territorio Indígena Multiétnico,Territorio Indígena Multiétnico,4374,4411,4453,4509,4554,4596,4636,4679,4727,4765,4802
445,Municipio/TIOC,Beni,Iténez,TIOC-Territorio Indígena Multiétnico,TIOC-Territorio Indígena Multiétnico,4374,4411,4453,4509,4554,4596,4636,4679,4727,4765,4802
446,Departamento,Pando,,,Pando,145141,147411,149452,151341,153058,154650,156135,157518,158894,160255,161596
447,Provincia,Pando,Nicolás Suárez,,Nicolás Suárez,76391,77458,78401,79364,80238,81078,81874,82622,83352,84120,84858
448,Municipio/TIOC,Pando,Nicolás Suárez,Cobija,Cobija,59682,60586,61363,62179,62912,63632,64301,64944,65553,66190,66799
449,Municipio/TIOC,Pando,Nicolás Suárez,Porvenir,Porvenir,10121,10271,10413,10548,10671,10787,10887,10993,11096,11199,11302
450,Municipio/TIOC,Pando,Nicolás Suárez,Bolpebra,Bolpebra,2640,2663,2700,2721,2751,2770,2797,2815,2839,2859,2891
451,Municipio/TIOC,Pando,Nicolás Suárez,Bella Flor,Bella Flor,3948,3938,3925,3916,3904,3889,3889,3870,3864,3872,3866
452,Provincia,Pando,Manuripi,,Manuripi,20443,20804,21127,21402,21656,21895,22120,22331,22535,22731,22931
453,Municipio/TIOC,Pando,Manuripi,Puerto Rico,Puerto Rico,7966,8084,8180,8273,8358,8444,8522,8607,8687,8762,8842
454,Municipio/TIOC,Pando,Manuripi,San Pedro,San Pedro,3806,3869,3923,3976,4022,4069,4121,4160,4199,4238,4280
455,Municipio/TIOC,Pando,Manuripi,Filadelfia,Filadelfia,8671,8851,9024,9153,9276,9382,9477,9564,9649,9731,9809
456,Provincia,Pando,Madre de Dios,,Madre de Dios,35375,36105,36757,37322,37827,38247,38636,38979,39334,39658,39988
457,Municipio/TIOC,Pando,Madre de Dios,Puerto Gonzalo Moreno,Puerto Gonzalo Moreno,13382,13690,13957,14186,14377,14536,14670,14800,14926,15036,15164
458,Municipio/TIOC,Pando,Madre de Dios,San Lorenzo,San Lorenzo,10622,10817,11006,11171,11315,11445,11566,11664,11781,11889,11985
459,Municipio/TIOC,Pando,Madre de Dios,Sena,Sena,11371,11598,11794,11965,12135,12266,12400,12515,12627,12733,12839
460,Provincia,Pando,Abuná,,Abuná,5923,6020,6128,6203,6276,6347,6407,6474,6514,6581,6624
461,Municipio/TIOC,Pando,Abuná,Santa Rosa,Santa Rosa,3123,3160,3206,3235,3268,3308,3340,3372,3396,3433,3456
462,Municipio/TIOC,Pando,Abuná,Ingavi,Ingavi,2800,2860,2922,2968,3008,3039,3067,3102,3118,3148,3168
463,Provincia,Pando,Federico Román,,Federico Román,7009,7024,7039,7050,7061,7083,7098,7112,7159,7165,7195
464,Municipio/TIOC,Pando,Federico Román,Nueva Esperanza,Nueva Esperanza,1743,1724,1718,1705,1694,1692,1694,1687,1696,1690,1692
465,Municipio/TIOC,Pando,Federico Román,Villa Nueva,Villa Nueva,2730,2728,2720,2708,2699,2702,2691,2682,2692,2685,2688
466,Municipio/TIOC,Pando,Federico Román,Santos Mercado,Santos Mercado,2536,2572,2601,2637,2668,2689,2713,2743,2771,2790,2815
Fuente: Ministerio de Educación, Ministerio de Salud y Deportes, Instituto Nacional de Estadística. Estimaciones y proyecciones de población, Revisión 2025,,,,,,,,,,,,,,,,
RECOMENDACIÓN: Las proyecciones de población son elaboradas con base a información sobre los componentes demográficos (fecundidad, mortalidad y migración) investigadas en los censos y encuestas de demografía y salud. ,,,,,,,,,,,,,,,,
Cada Revisión de Proyección incorpora  en el momento de su realización información más reciente sobre los componentes demográficos y/o cambios metodológicos de cálculo de proyecciones, debidamente explicitados en respectivas ,,,,,,,,,,,,,,,,
Metodologías. De esta manera se recomienda el uso de la revisión de proyección de población más reciente.,,,,,,,,,,,,,,,,
