N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,�REA, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034
132,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,10397,10439,10480,10517,10554,10587,10617,10647,10677,10711,10731
133,Provincia,La Paz,Bautista Saavedra,,Bautista Saavedra,22943,23223,23483,23692,23877,24042,24174,24281,24391,24468,24547
134,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Charazani,16216,16326,16453,16562,16671,16777,16868,16946,17028,17100,17163
135,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Curva,6727,6897,7030,7130,7206,7265,7306,7335,7363,7368,7384
136,Provincia,La Paz,Manco Kapac,,Manco Kapac,35081,35363,35628,35863,36056,36252,36378,36522,36646,36735,36803
137,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Copacabana,17963,18020,18059,18103,18132,18184,18198,18233,18259,18284,18295
138,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,9381,9528,9673,9795,9896,9983,10041,10103,10151,10184,10214
139,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,7737,7815,7896,7965,8028,8085,8139,8186,8236,8267,8294
140,Provincia,La Paz,Gualberto Villarroel,,Gualberto Villarroel,18493,18353,18227,18108,17997,17889,17794,17682,17601,17517,17439
141,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,9508,9449,9407,9357,9316,9263,9222,9179,9141,9093,9052
142,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,6871,6791,6723,6668,6606,6558,6517,6462,6430,6403,6361
143,Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,2114,2113,2097,2083,2075,2068,2055,2041,2030,2021,2026
144,Provincia,La Paz,General José Manuel Pando,,General José Manuel Pando,12428,12666,12874,13033,13165,13275,13374,13428,13491,13539,13564
145,Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Machaca,6968,7079,7182,7269,7338,7397,7454,7488,7533,7561,7585
146,Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Catacora,5460,5587,5692,5764,5827,5878,5920,5940,5958,5978,5979
147,Provincia,La Paz,Caranavi,,Caranavi,72315,72492,72669,72818,72974,73130,73278,73424,73559,73687,73835
148,Municipio/TIOC,La Paz,Caranavi,Caranavi,Caranavi,61383,61664,61944,62194,62437,62664,62889,63091,63291,63478,63675
149,Municipio/TIOC,La Paz,Caranavi,Alto Beni,Alto Beni,10932,10828,10725,10624,10537,10466,10389,10333,10268,10209,10160
