municipality,department,sector,end_use,MWh,muni_ramp
Porvenir,Pando,SERVICES,ELECTRICITY,1161.4853,Porvenir
Porvenir,Pando,SERVICES,SPACE_COOLING,199.0137,Porvenir
Porvenir,Pando,SERVICES,FOOD_PRESERVATION,145.8290,Porvenir
Porvenir,Pando,SERVICES,COOKING,72.0567,Porvenir
Porvenir,Pando,SERVICES,MECHANICAL_ENERGY_COMM,46.3222,Porvenir
Porvenir,Pando,SERVICES,LIGHTING_R_C,51.4691,Porvenir
Porvenir,Pando,SERVICES,HEAT_LOW_T_HW,37.7440,Porvenir
Puerto Rico,Pando,SERVICES,ELECTRICITY,1089.6515,Puerto_Rico
Puerto Rico,Pando,SERVICES,SPACE_COOLING,186.7054,Puerto_Rico
Puerto Rico,Pando,SERVICES,FOOD_PRESERVATION,136.8100,Puerto_Rico
Puerto Rico,Pando,SERVICES,COOKING,67.6002,Puerto_Rico
Puerto Rico,Pando,SERVICES,MECHANICAL_ENERGY_COMM,43.4573,Puerto_Rico
Puerto Rico,Pando,SERVICES,LIGHTING_R_C,48.2859,Puerto_Rico
Puerto Rico,Pando,SERVICES,HEAT_LOW_T_HW,35.4096,Puerto_Rico
Filadelfia,Pando,SERVICES,ELECTRICITY,1063.7100,Filadelfia
Filadelfia,Pando,SERVICES,SPACE_COOLING,182.2605,Filadelfia
Filadelfia,Pando,SERVICES,FOOD_PRESERVATION,133.5530,Filadelfia
Filadelfia,Pando,SERVICES,COOKING,65.9909,Filadelfia
Filadelfia,Pando,SERVICES,MECHANICAL_ENERGY_COMM,42.4227,Filadelfia
Filadelfia,Pando,SERVICES,LIGHTING_R_C,47.1363,Filadelfia
Filadelfia,Pando,SERVICES,HEAT_LOW_T_HW,34.5666,Filadelfia
Bella Flor,Pando,SERVICES,ELECTRICITY,205.2144,Bella_Flor
Bella Flor,Pando,SERVICES,SPACE_COOLING,35.1623,Bella_Flor
Bella Flor,Pando,SERVICES,FOOD_PRESERVATION,25.7655,Bella_Flor
Bella Flor,Pando,SERVICES,COOKING,12.7312,Bella_Flor
Bella Flor,Pando,SERVICES,MECHANICAL_ENERGY_COMM,8.1843,Bella_Flor
Bella Flor,Pando,SERVICES,LIGHTING_R_C,9.0937,Bella_Flor
Bella Flor,Pando,SERVICES,HEAT_LOW_T_HW,6.6687,Bella_Flor
Bolpebra,Pando,SERVICES,ELECTRICITY,56.2608,Bolpebra
Bolpebra,Pando,SERVICES,SPACE_COOLING,9.6400,Bolpebra
Bolpebra,Pando,SERVICES,FOOD_PRESERVATION,7.0638,Bolpebra
Bolpebra,Pando,SERVICES,COOKING,3.4903,Bolpebra
Bolpebra,Pando,SERVICES,MECHANICAL_ENERGY_COMM,2.2438,Bolpebra
Bolpebra,Pando,SERVICES,LIGHTING_R_C,2.4931,Bolpebra
Bolpebra,Pando,SERVICES,HEAT_LOW_T_HW,1.8283,Bolpebra
Ixiamas,La Paz,SERVICES,ELECTRICITY,396.3127,Ixiamas
Ixiamas,La Paz,SERVICES,SPACE_COOLING,67.9059,Ixiamas
Ixiamas,La Paz,SERVICES,FOOD_PRESERVATION,49.7586,Ixiamas
Ixiamas,La Paz,SERVICES,COOKING,24.5866,Ixiamas
Ixiamas,La Paz,SERVICES,MECHANICAL_ENERGY_COMM,15.8057,Ixiamas
Ixiamas,La Paz,SERVICES,LIGHTING_R_C,17.5619,Ixiamas
Ixiamas,La Paz,SERVICES,HEAT_LOW_T_HW,12.8787,Ixiamas
San Lorenzo,Pando,SERVICES,ELECTRICITY,347.2488,San_Lorenzo
San Lorenzo,Pando,SERVICES,SPACE_COOLING,59.4991,San_Lorenzo
San Lorenzo,Pando,SERVICES,FOOD_PRESERVATION,43.5984,San_Lorenzo
San Lorenzo,Pando,SERVICES,COOKING,21.5428,San_Lorenzo
San Lorenzo,Pando,SERVICES,MECHANICAL_ENERGY_COMM,13.8489,San_Lorenzo
San Lorenzo,Pando,SERVICES,LIGHTING_R_C,15.3877,San_Lorenzo
San Lorenzo,Pando,SERVICES,HEAT_LOW_T_HW,11.2843,San_Lorenzo
Santa Rosa del Abuná,Pando,SERVICES,ELECTRICITY,98.3785,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,SPACE_COOLING,16.8566,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,FOOD_PRESERVATION,12.3518,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,COOKING,6.1032,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,MECHANICAL_ENERGY_COMM,3.9235,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,LIGHTING_R_C,4.3595,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,SERVICES,HEAT_LOW_T_HW,3.1969,Santa_Rosa_Pando
Santos Mercado,Pando,SERVICES,ELECTRICITY,32.5624,Santos_Mercado
Santos Mercado,Pando,SERVICES,SPACE_COOLING,5.5794,Santos_Mercado
Santos Mercado,Pando,SERVICES,FOOD_PRESERVATION,4.0883,Santos_Mercado
Santos Mercado,Pando,SERVICES,COOKING,2.0201,Santos_Mercado
Santos Mercado,Pando,SERVICES,MECHANICAL_ENERGY_COMM,1.2986,Santos_Mercado
Santos Mercado,Pando,SERVICES,LIGHTING_R_C,1.4429,Santos_Mercado
