PV,SOLAR,WIND_ONSHORE
0.000000,0.000000,0.043333
0.000000,0.000000,0.038000
0.000000,0.000000,0.036667
0.000000,0.000000,0.034000
0.003667,0.019355,0.036000
0.083000,0.105991,0.024667
0.199667,0.227035,0.002000
0.305000,0.341628,0.003667
0.370000,0.416897,0.012000
0.413667,0.469432,0.007667
0.412000,0.467588,0.001667
0.369000,0.416897,0.000667
0.315000,0.355453,0.000667
0.225667,0.257143,0.001000
0.145333,0.171429,0.000667
0.057000,0.079263,0.001333
0.000000,0.011982,0.002667
0.000000,0.000000,0.005000
0.000000,0.000000,0.007667
0.000000,0.000000,0.016667
0.000000,0.000000,0.053667
0.000000,0.000000,0.087667
0.000000,0.000000,0.090667
0.000000,0.000000,0.086333
0.000000,0.000000,0.075667
0.000000,0.000000,0.064000
0.000000,0.000000,0.055667
0.000000,0.000000,0.044667
0.006333,0.022427,0.025667
0.096333,0.120123,0.001333
0.235000,0.265438,0.000333
0.376000,0.422427,0.003667
0.485333,0.555760,0.014333
0.540000,0.627650,0.028333
0.558333,0.654685,0.041333
0.522000,0.607680,0.054667
0.453667,0.521352,0.065000
0.330000,0.375422,0.067333
0.216333,0.248541,0.046333
0.086000,0.110292,0.030667
0.003000,0.018740,0.033000
0.000000,0.000000,0.054333
0.000000,0.000000,0.066667
0.000000,0.000000,0.068333
0.000000,0.000000,0.049667
0.000000,0.000000,0.040333
0.000000,0.000000,0.038000
0.000000,0.000000,0.044000
0.000000,0.000000,0.067667
0.000000,0.000000,0.070667
0.000000,0.000000,0.058333
0.000000,0.000000,0.044333
0.004333,0.016283,0.030667
0.057667,0.079263,0.012000
0.127667,0.153303,0.035333
0.192000,0.222734,0.066000
0.250000,0.287865,0.088000
0.290000,0.336713,0.103667
0.315667,0.368356,0.108000
0.294333,0.341321,0.103000
0.269000,0.310906,0.092000
0.221333,0.256528,0.081667
0.153667,0.182181,0.068333
0.064333,0.087865,0.054667
0.001333,0.016283,0.058333
0.000000,0.000000,0.082000
0.000000,0.000000,0.083333
0.000000,0.000000,0.070333
0.000000,0.000000,0.062000
0.000000,0.000000,0.061333
0.000000,0.000000,0.065000
0.000000,0.000000,0.070333
0.000000,0.000000,0.079000
0.000000,0.000000,0.076667
0.000000,0.000000,0.073667
0.000000,0.000000,0.076000
0.007000,0.023656,0.075333
0.101667,0.125346,0.039333
0.229000,0.258986,0.094667
0.343333,0.386790,0.131667
0.416333,0.473733,0.132000
0.446000,0.510906,0.136333
0.444667,0.510292,0.136000
0.422333,0.481720,0.113000
0.363000,0.411060,0.090000
0.288667,0.327496,0.068333
0.183000,0.212289,0.047333
0.081333,0.104762,0.033333
0.001000,0.015975,0.020000
0.000000,0.000000,0.013000
0.000000,0.000000,0.011667
0.000000,0.000000,0.013667
0.000000,0.000000,0.006333
0.000000,0.000000,0.001333
0.000000,0.000000,0.000667
0.000000,0.000000,0.001667
0.000000,0.000000,0.003000
0.000000,0.000000,0.005333
0.000000,0.000000,0.006333
0.000000,0.000000,0.008000
0.000667,0.015668,0.013333
0.062667,0.084485,0.016667
0.146000,0.170814,0.027000
0.242333,0.272504,0.047667
0.343333,0.384639,0.071667
0.431000,0.489708,0.113000
0.471000,0.541628,0.143333
0.463333,0.534869,0.146667
0.413333,0.473425,0.132667
0.333667,0.380031,0.092667
0.226333,0.258986,0.055333
0.102667,0.127496,0.033667
0.007000,0.022120,0.034667
0.000000,0.000000,0.047000
0.000000,0.000000,0.042667
0.000000,0.000000,0.045667
0.000000,0.000000,0.046000
0.000000,0.000000,0.050333
0.000000,0.000000,0.055333
0.000000,0.000000,0.050000
0.000000,0.000000,0.046333
0.000000,0.000000,0.046667
0.000000,0.000000,0.050333
0.000000,0.000000,0.056000
0.000667,0.015361,0.057667
