Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,LA PAZ DEL BENI,Ixiamas,13.751521298174442,104.99494133074916,SIN,8022.74,1547.35,True,20.065
C1,OJAKI,Ixiamas,19.040567951318454,105.18071274172144,Sist. Ais.,5809.28,1547.35,True,27.783
C1,EMBAJADORES DEL MADIDI,Ixiamas,37.02332657200812,105.96592030075035,Sist. Ais.,3018.36,1547.35,True,54.022
C1,SANTA MARIA,Ixiamas,7.404665314401623,108.1580486574359,Sist. Ais.,15332.28,1547.35,True,10.804
C1,GUAGUA UNO,Reyes,29.532710280373838,0.0025939245506652,SIN,17.57,1583.83,False,44.12
C1,SAN JOSE,Reyes,6.644859813084111,0.0209795624641954,SIN,20.78,1583.83,False,9.927
C1,RATIJE,Reyes,35.4392523364486,0.0215920567164558,SIN,18.11,1583.83,False,52.944
C1,EL COZAR,Reyes,21.411214953271028,0.0419012942329257,SIN,19.53,1583.83,False,31.987
C1,SAN JUAN,Reyes,17.7196261682243,0.0648849743148317,SIN,21.31,1583.83,False,26.472
C1,VILLA COPACABANA,Reyes,21.411214953271028,0.0672089916727575,SIN,20.77,1583.83,False,31.987
C1,GUALAGUAGUA,Reyes,20.672897196261683,0.0942446080709362,SIN,22.25,1583.83,False,30.884
C1,SAN FELIPE,Reyes,11.074766355140186,0.1233692460686131,SIN,29.15,1583.83,False,16.545
C1,NUEVO AMANECER,Reyes,19.19626168224299,0.1365389987189208,SIN,24.93,1583.83,False,28.678
C1,REYES,Reyes,64.97196261682242,0.1812810309638463,SIN,20.4,1583.83,False,97.064
C1,BAYCHUJE,Reyes,4.429906542056075,0.2037961077841205,SIN,65.71,1583.83,False,6.618
C1,ESTANCIAS DISPERSAS,Reyes,19.19626168224299,0.4249599121681608,SIN,40.69,1583.83,False,28.678
C1,MONTE CARLOS,Reyes,5.168224299065421,0.9656530128316746,SIN,213.38,1583.83,False,7.721
C1,LOS TAJIBOS,Reyes,5.168224299065421,1.1309522865193329,SIN,246.91,1583.83,False,7.721
C1,LA UNION,Reyes,14.02803738317757,2.9150592420625165,SIN,235.35,1583.83,False,20.957
C1,NUEVA ESPERANZA,Reyes,11.074766355140186,5.133321514671898,SIN,503.46,1583.83,False,16.545
C1,REMANSO,Reyes,1.4766355140186915,8.684786232351064,SIN,6184.05,1583.83,True,2.206
C1,RIO VIEJO,Reyes,19.93457943925233,10.847847987480083,SIN,588.03,1583.83,False,29.781
C1,PEÑA AMARILLA,Reyes,8.85981308411215,11.803879745190146,Sist. Ais.,1414.35,1583.83,False,13.236
C1,LOS TUBOS,Reyes,10.336448598130842,16.271192023738493,Sist. Ais.,1667.94,1583.83,True,15.442
