Municipio_std,Cluster,Municipio_raw,Comunidad,No_tiene_2012,Poblacion_2012,distance_km,Dist_band
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,VILLAZON,1.0,24.0,129.45587357908843,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL ROSARIO,9.0,248.0,132.96062105482378,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL TRIUNFO,11.0,582.0,138.76149184494432,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,AWAISAL,1.0,114.0,140.4100665411726,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,VILLA FATIMA,3.0,155.0,143.87436647100145,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,PICAFLORES,3.0,111.0,144.47428296646413,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,SAN BARTOLOME,5.0,134.0,147.77166101036693,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,SANTA ROSA DE YACUMA,29.0,4727.0,158.8666704747445,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,EL MOJON,2.0,75.0,167.38652326975213,>50 km
Santa_Rosa_Beni,C1,Tercera Sección - Santa Rosa,SAN CRISTOBAL,25.0,270.0,171.6636417836358,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,MUKDEN,41.0,432.0,30.753798607917805,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,NAREUDA,14.0,343.0,39.270335830809955,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,PUERTO ORO,1.0,71.0,44.10399727043072,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,VERA CRUZ,19.0,197.0,47.47043486670445,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,AGROPECUARIA EL CEIBO,33.0,64.0,48.93098723558685,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,NUEVA CANAAN,50.0,183.0,49.8220208862404,25-50 km
Bolpebra,C2,Segunda Sección - Bolpebra,CANAAN,10.0,65.0,50.87432741475458,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,MOLIENDA,5.0,49.0,55.28058006344036,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,TRES ARROYOS,11.0,127.0,62.23468301599653,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,EXTREMA,6.0,55.0,63.01119865923469,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,BIOCEANICA,18.0,135.0,65.47080222507581,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,SAN JORGE,18.0,68.0,69.04025955736316,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,NOHAYA,13.0,49.0,75.26965076832676,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,SAN MIGUEL DE MACHINERI,5.0,37.0,77.1372561077753,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,YAMINAHUA,24.0,132.0,77.49328436415031,>50 km
Bolpebra,C2,Segunda Sección - Bolpebra,SAN PEDRO DE BOLPEBRA,38.0,166.0,85.27523649401022,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,ROSARIO DEL YATA,39.0,580.0,0.0,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,CACHUELA ESPERANZA,30.0,982.0,0.08193759416170852,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,GUAYARAMERIN,227.0,0.0,0.8610968587035897,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,PUERTO CARRERO,9.0,42.0,2.556467402869826,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN PEDRO,1.0,5.0,3.959867860741212,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,VILLA PURISIMA,10.0,43.0,4.356410183777761,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN JOSE,13.0,74.0,4.589360745885463,<5 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,26 DE MARZO,14.0,106.0,6.129941226253708,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA ROSA,24.0,185.0,6.333362248423065,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,EL PORVENIR,5.0,46.0,7.764550157370017,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,CACHUELA MAMORE,26.0,135.0,8.351200672798548,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA EMILIA,5.0,23.0,8.76922019879416,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN FRANCISCO,12.0,103.0,8.8081602498459,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,8 DE FEBRERO,17.0,145.0,8.81382073007427,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,27 DE NOVIEMBRE,15.0,142.0,9.022888098950105,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN MIGUEL,32.0,104.0,9.164686386525537,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA EMILIA,1.0,17.0,9.58679465826777,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,ESTANCIAS DISPERSAS,2.0,2.0,9.725875540324061,5-10 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN AGUSTIN,45.0,258.0,10.468077373462677,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA LUCIA,2.0,107.0,10.582001232227956,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA TERESA DEL YATA,4.0,234.0,11.118992345118064,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN JUAN,16.0,92.0,11.253149072294324,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,VILLA UNION,15.0,76.0,11.2981639362198,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,LA UNION,15.0,83.0,11.65646412590547,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,1RO DE MAYO,13.0,157.0,12.684575561577724,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN PEDRO,11.0,113.0,14.575461731361642,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,2 DE OCTUBRE,47.0,161.0,14.581890925842844,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN FRANSISCO DEL YATA,17.0,59.0,14.76065766965022,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,18 DE JUNIO,41.0,143.0,15.863082080580545,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA TERESA DEL YATA,50.0,43.0,17.96799220293839,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,VILLA BELLA,26.0,200.0,18.494027974567548,10-25 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,14 DE SEPTIEMBRE,24.0,87.0,23.194642798742592,10-25 km
