Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km,Panel_2024,Motor_2024,Otra_2024
C1,SANTA ANITA,Ixiamas,15.16034708136128,100.2867774056765,SIN,6953.21,1547.35,True,22.121,14.408163265306122,0.0,0.0
C1,ESPERANZA DEL MADIDI,Ixiamas,3.877840883479829,101.77700708372956,Sist. Ais.,27535.53,1547.35,True,5.658,0.0,1.0698412698412698,0.0
C1,CAMPESINA LAS PALMAS,Ixiamas,24.324854631507776,104.24694238381464,Sist. Ais.,4510.83,1547.35,True,35.493,14.408163265306122,4.279365079365079,0.0
C1,LA PAZ DEL BENI,Ixiamas,15.513743520396664,104.99494133074916,SIN,7113.41,1547.35,True,22.637,7.204081632653061,0.0,0.0
C1,OJAKI,Ixiamas,36.66279017354068,105.18071274172144,Sist. Ais.,3025.41,1547.35,True,53.496,0.0,10.698412698412698,0.0
C1,EMBAJADORES DEL MADIDI,Ixiamas,77.55443768311923,105.96592030075035,Sist. Ais.,1450.05,1547.35,False,113.163,7.204081632653061,21.396825396825395,2.395348837209302
C1,SANTA MARIA,Ixiamas,10.929109758846067,108.1580486574359,Sist. Ais.,10393.53,1547.35,True,15.947,0.0,2.1396825396825396,0.0
C1,GUAGUA UNO,Reyes,31.28457132255746,0.0025939245506652,SIN,17.56,1583.83,False,46.737,0.0,0.0,0.8148148148148148
C1,SAN JOSE,Reyes,9.272651376359546,0.0209795624641954,SIN,19.85,1583.83,False,13.853,0.0,1.6551724137931034,0.0
C1,RATIJE,Reyes,65.22089005357019,0.0215920567164558,SIN,17.82,1583.83,False,97.436,36.96694214876033,5.517241379310345,1.222222222222222
C1,EL COZAR,Reyes,31.046450685280952,0.0419012942329257,SIN,18.89,1583.83,False,46.381,0.0,6.06896551724138,0.0
C1,SAN JUAN,Reyes,21.223348252591546,0.0648849743148317,SIN,20.68,1583.83,False,31.706,0.0,2.206896551724138,0.0
C1,VILLA COPACABANA,Reyes,32.79831172746458,0.0672089916727575,SIN,19.62,1583.83,False,48.999,0.0,6.620689655172414,0.4074074074074074
C1,GUALAGUAGUA,Reyes,52.20639595556689,0.0942446080709362,SIN,19.37,1583.83,False,77.993,1.7603305785123968,0.0,14.25925925925926
C1,SAN FELIPE,Reyes,18.08221052387468,0.1233692460686131,SIN,24.63,1583.83,False,27.014,14.082644628099175,0.0,0.0
C1,NUEVO AMANECER,Reyes,22.699983766610238,0.1365389987189208,SIN,23.78,1583.83,False,33.912,0.0,2.206896551724138,0.0
C1,REYES,Reyes,76.35905939101598,0.1812810309638463,SIN,19.96,1583.83,False,114.075,5.2809917355371905,3.310344827586207,1.6296296296296295
C1,BAYCHUJE,Reyes,7.933628626423321,0.2037961077841205,SIN,44.41,1583.83,False,11.852,0.0,0.0,1.6296296296296295
C1,ESTANCIAS DISPERSAS,Reyes,50.7297604415482,0.4249599121681608,SIN,26.26,1583.83,False,75.787,28.16528925619835,9.931034482758621,0.8148148148148148
C1,MONTE CARLOS,Reyes,16.55532107325897,0.9656530128316746,SIN,78.63,1583.83,False,24.733,21.123966942148762,0.5517241379310345,0.0
C1,LOS TAJIBOS,Reyes,10.423807425616289,1.1309522865193329,SIN,131.23,1583.83,False,15.572,7.041322314049587,1.103448275862069,0.0
C1,LA UNION,Reyes,23.663273115187497,2.9150592420625165,SIN,146.64,1583.83,False,35.351,0.0,6.06896551724138,0.0
C1,NUEVA ESPERANZA,Reyes,15.454418960599243,5.133321514671898,SIN,365.73,1583.83,False,23.088,0.0,0.5517241379310345,1.6296296296296295
C1,REMANSO,Reyes,3.2284965562023142,8.684786232351064,SIN,2837.91,1583.83,True,4.823,3.5206611570247937,0.0,0.0
C1,RIO VIEJO,Reyes,22.562371002527765,10.847847987480083,SIN,521.57,1583.83,False,33.707,0.0,1.6551724137931034,0.0
C1,PEÑA AMARILLA,Reyes,29.006215069223813,11.803879745190146,Sist. Ais.,444.14,1583.83,False,43.333,1.7603305785123968,1.6551724137931034,7.7407407407407405
C1,LOS TUBOS,Reyes,15.59203172468171,16.271192023738493,Sist. Ais.,1111.62,1583.83,False,23.293,7.041322314049587,1.103448275862069,0.0
C1,SAL SI PUEDES,Reyes,4.705132070221006,21.51912269889449,SIN,4812.72,1583.83,True,7.029,3.5206611570247937,0.0,0.0
C1,CALIFORNIA,Reyes,38.755107720136365,25.655705446772725,Sist. Ais.,711.56,1583.83,False,57.898,8.801652892561984,1.6551724137931034,0.0
C1,SAN MIGUEL DE SORAIDA,Reyes,4.705132070221006,27.77491582258962,SIN,6206.74,1583.83,True,7.029,0.0,0.5517241379310345,0.4074074074074074
