Code;Municipio;Departamento;Population density;Latitude;Longitude;Cp_PV;Cp_Wind;GDP;Altitude;Temp;Relative_humidity;Num_vehicles;FG_network_access;EL_network_access;Polyduct_access;EL_demand
30302;Morochata;Cochabamba;24.33;-17.2345;-66.5321;21.2;10.9;1390;2990;11.905;66.03;4.685573366;0;1;0;0.134
30303;Cocapata;Cochabamba;2.86;-17.5818;-65.3109;19.3;22.6;1759;2888;15.71;87.54;196.1538462;0;1;0;0.151
30401;Tarata;Cochabamba;33.2;-17.6114;-66.0234;21.4;16.4;2502;2769;13.642;59.9;15.81325301;1;1;0;0.486
30402;Anzaldo;Cochabamba;11.32;-17.7788;-65.9321;21.6;16.4;1165;3038;13.586;63.54;6.183745583;0;1;0;0.167
30403;Arbieto;Cochabamba;206.89;-17.5835;-66.0148;21.3;16.6;1399;2723;13.65;64.55;5.838851564;1;1;0;0.463
30404;Sacabamba;Cochabamba;26.67;-17.8172;-65.7786;21.3;17.9;1153;3158;13.858;68.29;0.224971879;0;1;0;0.149
30501;Arani;Cochabamba;52.76;-17.5996;-65.6654;20.1;21.1;1602;3565;13.037;81.24;4.435178165;1;1;0;0.207
30502;Vacas;Cochabamba;23.34;-17.5725;-65.5792;19.7;22.1;1647;3477;13.246;84.93;4.027420737;0;1;0;0.158
30601;Arque;Cochabamba;20.58;-17.8231;-66.5599;23.1;15;988;3667;11.292;55.56;0.388726919;1;1;1;0.157
30602;Tacopaya;Cochabamba;19.01;-17.8381;-66.5373;23.1;15;1078;3275;11.369;55.56;5.786428196;0;1;0;0.094
30701;Capinota;Cochabamba;35.53;-17.712;-66.2679;22.4;14.5;1932;2417;13.438;56.22;89.2766676;1;1;0;0.583
30702;Santivanez;Cochabamba;25.6;-17.5697;-66.2124;22;15.3;3237;2588;14.093;58.74;6.9140625;1;1;0;0.433
30703;Sicaya;Cochabamba;29.76;-17.8006;-66.3339;22.7;14.4;2045;2634;12.671;56.2;0;0;1;0;0.276
30801;Cliza;Cochabamba;384.48;-17.5918;-65.9342;21;17.4;2960;2724;13.496;68.2;8.1434665;1;1;0;0.636
30802;Toco;Cochabamba;112.98;-17.6269;-65.927;21.1;17.3;1561;2741;13.503;65.9;0.814303417;0;1;0;0.377
30803;Tolata;Cochabamba;87.76;-17.5342;-65.9631;21;17.5;2806;2715;13.547;68.2;3.258887876;1;1;0;0.674
30901;Quillacollo;Cochabamba;293.35;-17.3754;-66.3669;21.6;13.6;2424;2786;13.062;63.9;239.4102608;1;1;0;1.112
30902;Sipe Sipe;Cochabamba;115.71;-17.4535;-66.3575;21.9;14.1;2547;2591;13.512;57.2;16.07466943;1;1;0;0.659
30903;Tiquipaya;Cochabamba;178.86;-17.3382;-66.2189;21.2;15;2388;2649;13.478;66.4;41.03209214;1;1;0;1.226
30904;Vinto;Cochabamba;255.96;-17.3968;-66.3136;21.6;14.6;2073;2552;13.447;63.9;47.6988592;1;1;0;0.776
30905;Colcapirhua;Cochabamba;2299.83;-17.3885;-66.2408;21.5;15.1;3350;2568;13.732;66.4;5.442141376;1;1;0;1.3
31001;Sacaba;Cochabamba;311.35;-17.4038;-66.0403;20.8;16.3;2016;2720;13.954;69.16;161.2140678;1;1;0;0.149
31002;Colomi;Cochabamba;34.51;-17.3383;-65.8683;19.9;17.2;1685;3302;14.62;83.46;28.54245146;1;1;0;0.359
31003;Villa Tunari;Cochabamba;6.56;-16.9728;-65.4202;17.7;17.4;2479;309;23.451;85.52;914.6341463;1;1;1;0.491
31101;Tapacari;Cochabamba;14.86;-17.5164;-66.6202;22.5;12.4;1210;2916;11.919;57.97;12.38223419;1;1;0;0.162
31201;Totora;Cochabamba;6.85;-17.7355;-65.1914;19.7;23.4;1537;2805;16.463;79.18;16.20437956;1;1;0;0.179
31202;Pojo;Cochabamba;4.95;-17.7572;-64.863;19.3;26.1;2197;1985;18.263;83.92;7.070707071;0;1;0;0.246
31203;Pocona;Cochabamba;14.57;-17.6748;-65.42;19.9;21.9;1864;2720;14.889;81.18;4.255319149;0;1;0;0.295
31204;Chimore;Cochabamba;9.99;-16.9939;-65.1505;17.6;19.7;2904;241;25.381;86.52;290.1901902;1;1;0;0.595
31205;Puerto Villarroel;Cochabamba;28.71;-16.839;-64.7927;17.6;25.2;3258;196;27.164;84.37;461.9644723;1;1;1;0.583
31206;Entre Rios;Cochabamba;21.67;-17.197;-64.5354;17.8;26.1;4613;239;25.074;86.19;132.0719889;1;1;0;0.744
31301;Mizque;Cochabamba;10.47;-18.0377;-65.5119;21.4;19.5;2552;2525;15.3;71.23;25.69245463;1;1;0;0.419
31302;Vila Vila;Cochabamba;8.68;-17.5005;-66.328;22.1;14.7;914;2506;13.951;54.93;0.115207373;0;1;0;0.193
31303;Alalay;Cochabamba;8.18;-17.4196;-66.0261;20.8;16.5;1932;2761;13.928;69.16;0.244498778;0;1;0;0.15
31401;Punata;Cochabamba;405.27;-17.5927;-65.8497;20.7;18.4;1964;2711;13.342;72.42;17.09724381;1;1;0;0.625
31402;Villa Rivero;Cochabamba;83.02;-17.6158;-65.8108;20.7;18.8;1268;2736;13.326;69.24;4.264032763;1;1;0;0.258
31403;San Benito;Cochabamba;91.21;-17.5228;-65.8945;20.7;18.4;1686;2727;13.348;72.42;10.8321456;1;1;0;0.593
31404;Tacachi;Cochabamba;102.9;-17.6375;-65.7785;20.6;19;1325;3027;13.341;71.53;0;0;1;0;0.266
31405;Cuchumuela;Cochabamba;60.03;-17.6917;-65.7547;20.8;19;1139;3509;13.49;71.53;0;0;0;0;0
31501;Bolivar;Cochabamba;11.32;-18.0133;-66.6356;23.7;17.8;1234;4083;10.295;58.97;0.265017668;0;1;0;0.129
31601;Tiraque;Cochabamba;6.86;-17.192;-65.4212;18.3;18.7;1673;539;19.9;87.61;314.4314869;1;1;0;0.278
31602;Shinahota;Cochabamba;36.69;-16.9962;-65.2455;17.6;18.7;2430;267;24.628;86.74;63.88661761;1;1;0;0.649
40101;Oruro;Oruro;1077.11;-17.9698;-67.1148;24.2;20.9;2524;3732;9.526;51.29;89.50710698;1;1;1;0.85
40102;Caracollo;Oruro;9.76;-17.6491;-67.2085;23.6;16.2;1846;3774;9.707;58.57;66.49590164;1;1;1;0.286
40103;El Choro;Oruro;9.29;-18.3571;-67.1153;24.7;22;899;3704;9.663;47.92;2.045209903;0;1;0;0.226
40104;Paria (Soracachi);Oruro;11.42;-17.8217;-67.0209;23.8;17.6;1963;3762;9.582;55.13;139.2294221;0;1;0;0.164
40201;Challapata;Oruro;13.67;-18.9022;-66.775;25.1;19.4;1497;3727;9.159;49.12;176.9568398;0;1;0;0.267
40202;Quillacas;Oruro;5.54;-19.2322;-66.9422;25.4;19.7;1772;3767;9.156;46.77;13.71841155;0;1;0;0
40301;Corque;Oruro;4.74;-18.3503;-67.6821;25;22;1166;3777;10.348;44.66;8.64978903;0;1;0;0.115
40302;Choquecota;Oruro;3.51;-18.1948;-68.0036;25;21.6;1610;3883;9.888;43.89;0;0;1;0;0.102
40401;Curahuara de Carangas;Oruro;2.33;-17.8427;-68.409;24.9;20;2133;3913;8.897;45.22;0.429184549;0;1;0;0.281
40402;Turco;Oruro;1.08;-18.1807;-68.193;25.1;20.7;1868;3858;9.605;44.4;0;0;1;0;0.102
40501;Huachacalla;Oruro;191.06;-18.7931;-68.2619;25.8;17.4;2119;3751;10.132;35.42;0.491992044;0;1;0;0.187
40502;Escara;Oruro;3.6;-18.8588;-68.1704;25.8;17.5;795;3725;10.48;40.15;710.2777778;0;1;0;0.052
40503;Cruz de Machacamarca;Oruro;2.88;-18.7696;-68.3124;25.8;17.3;756;3950;9.956;37.88;2.777777778;0;1;0;0.076
40504;Yunguyo de Litoral;Oruro;4.99;-18.8534;-68.3195;25.8;16.6;877;3739;9.856;34.96;0;0;1;0;0.057
40505;Esmeralda;Oruro;6.41;-18.8463;-68.2835;25.8;16.9;803;3747;10.012;34.22;180.6552262;0;1;0;0.069
40601;Poopo;Oruro;13;-18.2506;-66.9747;24.5;21.7;7845;3771;9.353;53.99;0.230769231;1;1;0;0.026
40602;Pazna;Oruro;5.7;-18.5974;-66.9208;24.9;21.9;2218;3721;9.352;50.48;0.701754386;0;1;0;0.208
40603;Antequera;Oruro;12.73;-18.4786;-66.841;24.7;22.2;35119;3990;9.308;51.35;0;0;1;0;0.094
40701;Huanuni;Oruro;36.21;-18.2858;-66.8347;24.4;21.2;5472;3948;9.312;54.03;19.8011599;0;1;0;0.807
40702;Machacamarca;Oruro;19.87;-17.6425;-67.3581;23.8;17.7;1909;3790;9.616;55.99;0.402617011;1;1;0;0.076
40801;Salinas de Garci Mendoza;Oruro;3.23;-19.6375;-67.6749;26.2;16;1740;3735;9.692;34.61;44.89164087;0;1;0;0.127
40802;Pampa Aullagas;Oruro;2.99;-19.1962;-67.0618;25.5;19.2;1829;3704;9.427;48.99;0.334448161;0;1;0;0.179
40901;Sabaya;Oruro;4.55;-19.0148;-68.3729;25.9;15.6;825;3710;9.469;35.33;72.08791209;1;1;0;0.219
40902;Coipasa;Oruro;6.88;-19.2768;-68.2781;26.1;16;1768;3676;9.908;40.15;261.9186047;0;1;0;0.537
40903;Chipaya;Oruro;7.88;-19.0418;-68.0897;25.9;17.2;1165;3675;10.642;42.46;0.126903553;0;1;0;0.173
41001;Toledo;Oruro;4.14;-18.1813;-67.4061;24.7;22.5;1299;3715;10.117;47.88;6.280193237;0;1;0;0.212
41101;Eucaliptus;Oruro;16.31;-17.5959;-67.5092;23.9;19.1;1536;3744;9.445;55.92;0.551808706;1;1;0;0.261
41201;Santiago de Andamarca;Oruro;2.71;-18.7787;-67.5073;25.4;21.7;1492;3747;10.492;41.18;66.42066421;0;1;0;0.078
41202;Belen de Andamarca;Oruro;2.77;-18.8174;-67.6412;25.5;20.4;1324;3829;10.528;42.01;0.722021661;0;1;0;0.05
41301;Totora;Oruro;10.23;-17.7935;-68.1454;24.7;21.2;1113;4027;9.333;79.18;0.195503421;0;1;0;0.179
41401;Santiago de Huari;Oruro;5.58;-19.013;-66.7772;25.2;19.2;5957;3743;9.076;49.57;9.498207885;1;1;0;0.31
41501;La Rivera;Oruro;6.39;-19.0041;-68.6399;25.9;15.3;1923;3841;8.148;37.49;222.5352113;0;1;0;0.22
41502;Todos Santos;Oruro;4.75;-19.014;-68.7187;25.9;15.5;1330;3928;7.781;40.18;0;0;1;0;0.153
41503;Carangas;Oruro;4.38;-18.383;-67.7996;25.1;21.6;946;3808;10.367;43.45;324.6575342;0;1;0;0.281
